lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
10,2,81.0,8,18,4,3,0,3,0,1
1,0,90.0,11,12,4,1,2,0,0,1
24,2,89.0,1,12,4,4,0,0,0,1
139,0,105.3,5,15,4,1,2,0,0,1
0,0,127.0,6,23,4,1,0,0,0,1
377,0,90.0,10,14,3,2,0,1,0,0
1,2,138.0,8,16,4,1,2,0,0,1
8,2,196.0,9,18,4,0,2,0,0,1
25,2,186.5,7,18,4,0,1,0,0,1
109,0,152.1,8,24,4,4,0,0,3,0
113,1,76.5,8,22,4,1,0,0,0,0
50,1,51.0,1,14,3,3,0,0,0,1
5,1,143.0,7,17,2,3,2,0,4,0
26,0,108.0,10,12,3,3,1,3,3,1
107,0,81.9,4,5,4,2,0,0,0,0
4,1,67.5,1,16,4,1,0,3,0,1
174,0,85.5,7,4,4,2,1,3,0,0
11,1,231.0,7,15,4,1,0,0,5,1
34,0,126.9,5,1,4,1,2,0,0,0
4,0,70.0,1,8,3,2,1,0,0,1
44,0,157.5,8,31,4,3,0,1,3,0
166,0,90.95,7,7,4,3,1,0,0,0
49,1,145.61,12,28,4,4,1,1,0,1
151,2,76.5,8,21,4,3,2,0,0,1
17,2,196.0,7,23,4,1,0,0,3,1
6,0,129.0,5,12,2,1,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
59,0,121.5,5,19,4,1,0,0,0,0
113,0,121.5,7,12,4,3,0,0,0,1
206,3,109.8,10,28,4,2,2,0,3,1
12,0,77.0,1,15,4,2,2,3,0,1
155,0,103.5,7,7,4,3,0,3,0,0
19,0,69.0,12,5,4,1,2,0,0,1
37,1,126.6,3,24,4,3,0,0,0,1
257,0,101.5,7,1,3,2,0,1,0,0
5,0,0.0,10,19,4,2,1,0,0,1
261,0,68.0,11,20,3,1,2,0,0,0
205,1,95.5,10,20,4,3,0,0,0,0
210,2,96.3,10,19,4,4,0,0,0,0
10,1,139.0,8,8,4,0,1,3,0,0
3,3,175.0,10,12,4,4,0,0,3,1
233,0,90.0,10,14,3,2,1,0,0,0
0,0,154.0,10,20,4,1,0,0,0,1
45,2,96.9,11,24,4,3,2,0,3,1
1,0,144.0,10,7,4,2,0,0,0,1
1,0,109.8,8,17,4,1,0,0,0,1
56,0,120.0,6,8,3,1,0,0,0,1
73,0,85.67,11,24,3,3,0,0,0,1
45,1,46.9,2,6,4,2,2,3,0,1
4,1,73.9,1,15,4,1,0,0,0,1
79,0,152.4,6,16,4,4,2,0,3,1
161,0,128.7,5,19,4,3,0,0,3,0
220,2,105.4,9,29,3,1,0,0,0,0
1,0,65.0,8,19,2,1,0,0,0,1
7,0,68.0,6,27,3,3,1,0,0,1
98,2,79.2,12,8,4,3,0,3,0,1
4,0,70.0,12,16,3,1,0,0,0,1
21,0,85.0,10,4,3,3,0,0,0,1
301,0,90.0,7,30,3,1,1,1,0,1
292,0,115.0,7,21,3,2,0,1,0,0
8,0,130.0,11,5,3,1,0,0,0,1
47,0,73.8,3,21,3,0,1,0,3,1
2,1,109.0,6,9,4,1,0,3,0,1
289,2,70.55,12,28,4,4,2,3,0,0
3,1,86.0,2,1,4,2,1,0,0,1
29,2,152.0,10,5,4,2,0,0,0,1
3,0,65.0,12,10,2,1,0,0,0,1
170,1,96.9,9,12,3,1,0,1,0,1
82,0,158.83,3,23,4,4,0,0,5,1
121,0,90.95,6,4,3,2,2,0,3,1
188,2,85.5,10,27,4,3,0,3,0,0
259,1,73.95,12,7,4,4,0,0,0,1
72,1,126.9,6,3,4,2,0,0,0,1
163,1,99.45,6,29,4,4,0,0,3,1
5,4,0.0,8,24,1,2,0,0,0,1
110,3,168.1,7,30,4,1,2,0,5,1
18,1,89.0,1,16,4,1,0,0,0,1
105,0,71.4,9,16,4,4,0,0,0,1
89,0,76.5,7,27,4,1,1,0,0,0
148,0,105.3,5,5,4,3,0,0,0,1
93,0,170.1,5,8,4,1,2,1,0,1
102,0,87.0,10,16,3,2,0,1,0,1
0,1,0.0,1,20,1,1,0,0,6,1
346,1,115.0,9,13,3,2,0,1,0,0
53,0,72.0,11,25,3,2,2,0,0,1
239,0,112.2,6,15,3,2,0,1,0,0
4,0,91.0,2,5,4,2,2,0,0,0
1,0,88.0,3,2,2,1,0,0,0,1
4,2,168.0,8,8,4,1,1,3,0,1
162,0,103.5,8,8,4,2,1,3,0,0
169,0,63.5,4,22,3,2,2,0,0,1
92,2,135.15,5,15,4,2,2,0,0,1
162,0,135.0,5,11,4,3,0,0,3,0
131,0,94.5,8,15,3,1,2,1,0,1
110,0,94.5,7,25,3,1,2,1,0,0
118,1,96.78,10,27,4,3,1,0,3,1
46,2,138.6,12,8,4,3,0,0,3,1
71,0,107.1,6,26,4,3,2,0,0,0
213,0,130.0,6,7,3,3,0,0,0,0
3,1,178.0,9,15,4,1,0,0,0,1
8,1,89.0,4,5,4,1,0,3,0,1
122,1,139.95,8,3,4,4,0,0,3,0
9,2,128.5,9,11,4,2,0,0,0,1
85,1,114.4,3,30,3,3,0,0,0,1
16,1,140.0,10,29,4,1,1,0,0,0
71,0,93.6,7,12,3,6,2,0,0,0
42,1,71.1,3,11,4,2,1,3,0,1
64,0,140.0,5,17,2,2,0,0,0,0
9,1,0.0,12,10,1,1,0,0,1,1
240,0,140.4,9,30,4,2,0,0,3,0
17,0,85.0,10,9,3,1,2,3,0,1
29,1,85.0,12,2,2,2,0,0,0,1
23,1,65.55,9,10,3,3,1,0,0,1
48,0,130.0,9,14,3,2,0,0,0,1
54,1,95.0,10,29,3,1,2,0,1,1
12,0,90.0,8,5,2,3,0,0,0,1
14,0,127.0,5,23,4,2,1,0,0,0
13,0,73.0,4,26,3,3,0,1,0,1
44,1,133.0,4,23,3,1,2,0,0,1
56,2,99.71,10,9,4,3,2,0,0,1
6,2,107.0,2,19,4,2,0,0,3,1
418,0,107.0,9,26,3,2,1,1,0,0
37,0,135.9,8,1,4,3,1,0,0,0
50,0,112.5,4,8,4,2,0,0,0,0
1,0,159.0,8,2,2,1,0,0,0,1
57,0,94.5,6,20,4,3,1,0,0,0
107,1,118.8,9,5,4,3,1,3,0,0
47,0,120.0,9,13,3,3,0,0,3,1
115,1,99.45,5,4,4,4,1,0,0,1
2,1,134.0,3,24,4,2,0,3,0,1
155,1,101.88,7,17,4,5,2,0,0,0
74,0,149.4,9,27,4,2,0,0,3,0
150,0,80.1,10,30,4,0,2,3,0,0
64,0,105.93,8,23,3,8,2,0,0,1
3,0,67.0,9,19,2,0,1,0,0,1
148,0,88.12,6,29,3,3,0,0,3,1
0,1,129.0,6,21,4,2,0,3,0,1
68,0,49.5,9,29,3,2,0,0,0,1
7,2,126.0,9,22,4,2,0,0,0,1
1,0,65.0,7,27,2,2,0,0,0,1
72,0,75.82,11,14,4,10,3,3,0,0
192,0,68.23,10,31,3,2,1,0,0,1
192,0,0.0,9,25,4,3,2,0,0,1
280,0,100.0,9,19,3,2,1,0,0,0
2,0,89.0,4,18,4,0,1,3,0,1
37,0,95.0,10,13,3,3,0,0,0,1
64,2,88.4,11,21,4,4,1,0,0,1
89,0,76.5,8,11,4,4,0,0,0,0
0,0,67.0,4,1,2,1,0,0,0,1
81,0,90.9,6,23,4,1,0,0,0,0
40,0,115.2,9,5,4,4,1,0,4,1
39,0,101.5,8,14,3,2,0,1,0,1
4,1,116.0,9,22,3,3,0,0,0,1
32,1,73.0,11,20,3,2,0,0,0,1
11,2,98.0,1,17,4,0,2,0,0,1
15,1,109.0,5,31,4,3,0,3,0,1
20,1,88.0,12,4,4,0,2,3,0,1
108,2,123.25,7,5,4,5,1,0,0,0
28,0,41.43,11,2,3,5,2,0,0,1
161,0,130.0,3,25,4,2,1,1,0,0
44,0,134.1,6,28,4,2,0,0,0,0
143,0,100.0,8,25,3,3,0,0,0,1
232,2,110.7,12,5,4,2,1,0,3,1
0,0,109.0,8,14,3,2,0,1,0,1
2,2,99.0,8,9,4,0,2,0,0,1
130,2,139.5,9,29,4,3,0,0,3,1
7,0,151.0,7,11,4,2,1,0,0,1
204,0,72.75,10,9,3,2,2,0,0,1
106,1,80.75,5,29,3,1,2,0,0,1
8,1,144.5,4,16,4,2,2,0,3,1
0,0,115.0,8,10,4,0,1,3,0,1
54,1,98.1,12,20,3,3,0,0,0,1
30,0,140.0,6,2,3,2,0,0,0,1
39,1,126.0,10,2,4,1,2,0,0,0
88,1,198.9,8,7,4,0,1,0,5,1
16,1,160.0,7,14,4,2,0,0,0,1
157,0,87.13,7,16,4,2,2,3,0,0
28,1,75.0,12,1,2,3,1,0,0,1
58,1,99.88,4,27,4,4,0,3,0,1
146,0,75.0,12,29,3,3,0,0,0,1
49,0,121.5,3,19,4,1,2,0,3,1
69,1,111.3,12,30,4,4,0,0,0,1
17,1,119.71,10,3,4,5,2,0,3,1
252,2,95.4,9,16,4,1,0,3,0,0
213,0,130.0,6,7,4,3,0,0,0,0
75,1,76.5,7,6,4,1,1,0,0,0
180,1,108.9,10,1,4,1,2,0,0,0
186,0,167.66,8,26,4,2,2,0,1,0
150,0,101.0,1,2,3,1,2,1,0,1
36,1,129.0,10,26,4,4,0,0,0,0
62,0,72.75,3,7,4,4,1,3,0,0
5,1,108.0,2,27,4,1,2,0,3,1
50,0,63.75,3,11,4,2,2,3,0,0
69,0,120.0,6,12,4,4,2,0,0,0
107,1,80.75,5,29,3,1,2,0,0,0
1,1,0.0,9,14,4,0,0,0,0,1
259,0,90.0,5,5,3,3,0,0,0,0
8,0,120.95,5,29,3,3,2,1,3,1
130,2,82.59,4,16,4,3,2,0,0,1
9,0,67.0,3,31,2,2,0,0,0,1
41,0,75.0,11,2,3,3,0,0,0,1
2,1,119.0,12,31,4,3,1,0,0,1
146,1,94.5,7,27,4,3,0,3,0,1
186,1,121.8,7,30,4,1,2,0,3,0
58,0,81.0,1,27,3,2,0,0,0,1
6,1,62.0,2,25,3,3,0,0,0,1
129,1,114.3,8,15,4,2,1,0,0,1
90,1,74.8,12,24,4,3,2,3,0,1
192,1,96.9,8,26,3,3,2,0,0,1
5,0,80.0,2,12,4,1,0,3,0,1
45,0,67.5,3,8,4,1,0,3,0,0
30,1,79.6,1,31,4,0,2,0,3,1
102,2,89.25,5,1,4,2,2,0,0,1
76,0,63.75,7,25,3,1,1,3,0,0
320,1,115.0,8,18,3,2,0,1,0,0
86,0,221.18,10,24,4,3,1,1,5,0
163,2,126.9,9,12,4,2,1,0,0,0
15,0,195.4,3,17,4,3,2,0,5,0
26,1,119.0,10,19,4,3,0,3,0,1
1,1,97.0,11,10,4,4,0,0,0,1
124,0,94.5,8,8,3,1,2,1,0,0
0,0,160.0,9,25,4,0,1,3,0,1
5,2,65.0,7,18,2,1,1,0,0,1
18,2,76.81,9,2,4,3,0,0,0,1
117,1,114.3,8,9,4,3,0,0,0,1
0,1,0.0,7,29,1,1,0,0,0,1
52,1,118.0,8,28,4,0,1,3,0,0
0,1,69.0,11,30,4,7,3,0,0,1
42,1,86.4,10,6,4,1,0,0,0,0
198,0,90.0,9,9,4,2,1,0,0,0
26,0,65.0,7,11,2,0,1,0,0,1
163,0,100.0,6,5,3,2,2,0,0,0
56,0,112.2,4,8,4,5,2,0,3,0
31,0,85.0,10,14,3,2,1,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
92,1,69.5,2,9,4,2,0,0,0,1
11,1,81.0,2,12,4,2,1,3,0,1
5,1,0.0,12,5,1,0,1,0,0,1
23,0,95.0,10,15,0,1,2,0,0,0
7,2,140.0,10,4,4,5,0,3,0,0
180,0,102.6,10,10,4,3,1,3,0,0
115,1,114.3,5,16,4,1,1,0,0,1
128,0,135.0,10,11,4,5,0,0,3,0
2,1,113.57,12,28,4,5,2,0,0,1
23,2,137.67,4,29,4,2,1,0,0,1
75,1,151.2,10,8,4,1,1,0,3,1
38,2,177.3,8,15,4,5,1,0,3,1
7,0,65.0,12,29,3,3,0,0,0,1
75,2,150.3,7,2,4,1,1,0,3,1
0,2,152.0,9,22,4,1,0,3,0,1
386,1,90.0,10,23,3,0,2,1,0,1
180,0,108.9,10,1,4,1,2,0,0,0
247,1,115.0,6,6,3,1,1,1,0,0
20,1,208.0,12,31,4,1,1,0,5,1
88,2,96.9,7,18,3,2,1,0,0,1
386,1,115.0,10,23,3,0,2,1,0,0
48,1,168.3,8,26,4,1,0,0,3,0
38,2,107.55,8,27,4,2,2,3,0,1
18,2,210.0,11,7,4,2,1,0,3,1
72,1,89.25,10,21,4,4,0,0,0,1
1,0,102.6,9,30,3,2,0,0,0,1
206,1,126.9,9,8,4,3,0,0,1,0
40,3,177.3,8,14,4,0,2,0,3,1
71,1,79.2,12,5,4,2,1,3,0,1
160,0,70.67,12,30,3,3,0,0,0,1
4,1,133.41,7,15,4,5,2,0,4,1
13,0,92.0,10,31,4,4,1,3,0,0
22,1,174.0,12,17,4,1,0,0,5,1
131,2,136.5,7,10,4,2,2,0,0,1
14,2,170.0,10,7,4,2,0,0,3,1
10,0,79.75,1,30,4,6,2,3,0,1
0,0,120.0,10,12,3,1,0,0,0,1
261,2,90.95,10,13,3,3,0,0,3,1
90,0,80.75,10,17,3,3,1,0,0,1
150,1,91.48,9,25,4,0,2,0,0,1
118,0,110.0,6,6,3,2,1,0,0,1
1,1,147.67,7,9,4,1,2,0,0,1
144,1,155.7,7,30,4,1,1,0,3,1
10,1,180.0,10,19,4,4,0,0,0,1
3,1,0.0,2,26,4,0,0,0,0,1
10,1,174.0,4,25,4,4,1,1,0,0
1,0,209.5,9,15,4,2,0,0,3,0
174,1,85.5,6,29,4,3,0,3,0,1
37,0,105.0,10,13,3,3,0,0,0,1
127,0,90.0,4,28,3,3,1,0,0,1
76,1,79.2,12,3,4,1,2,3,0,1
9,0,127.67,3,28,4,5,1,0,0,1
67,0,72.25,7,23,3,1,1,0,0,1
2,1,101.0,4,17,4,0,2,0,0,1
0,1,89.0,4,16,4,1,0,3,0,1
7,2,237.0,9,9,4,3,2,0,5,1
72,0,68.0,3,27,3,2,2,0,0,1
16,1,111.0,5,29,4,0,1,0,0,1
294,1,76.58,10,23,4,3,2,0,3,1
131,3,87.03,8,3,3,3,0,0,0,1
35,2,111.42,8,29,4,4,1,0,0,0
34,0,224.67,9,23,3,3,0,1,0,0
7,2,184.0,9,13,4,1,0,0,3,1
61,0,121.5,5,13,4,2,1,0,0,1
45,0,79.8,1,23,4,1,1,0,0,1
47,1,93.6,11,25,4,2,0,0,0,1
349,0,90.0,10,4,3,5,1,0,0,0
193,1,100.8,6,22,4,2,0,0,0,0
5,1,125.33,12,10,4,1,2,0,3,1
22,0,199.0,12,29,4,5,0,0,5,1
6,0,105.0,12,6,2,1,0,0,4,1
5,0,91.0,2,16,4,3,0,0,0,1
2,1,249.0,9,2,4,1,0,0,5,1
37,1,89.1,6,21,4,3,0,3,0,1
34,0,149.4,8,10,4,1,0,0,3,0
2,0,139.0,6,28,4,1,0,0,0,0
116,1,101.58,4,28,4,3,1,0,3,0
148,0,67.0,12,30,3,4,1,0,0,1
150,0,96.0,6,16,3,3,0,0,0,0
162,0,115.0,10,14,3,2,2,0,0,0
156,2,111.35,7,16,4,3,2,0,0,0
228,3,123.25,10,20,4,3,1,1,0,1
124,0,114.3,8,8,4,5,1,0,0,0
9,2,109.0,8,31,4,4,1,0,0,1
4,1,110.53,2,25,4,11,4,0,3,0
155,1,148.58,12,29,4,3,2,0,5,0
35,0,118.8,4,22,4,2,2,0,3,0
90,0,78.63,4,21,3,3,0,0,0,1
34,2,90.9,10,18,4,3,2,0,0,1
260,0,113.4,9,22,4,3,0,3,0,0
86,0,87.5,9,24,3,2,0,0,0,1
2,0,140.0,10,12,4,2,0,0,0,1
50,0,242.9,8,19,4,2,1,0,5,0
21,1,144.0,4,13,4,2,0,0,3,1
102,0,109.0,10,16,3,2,0,1,0,1
32,0,126.9,5,7,4,1,0,0,0,1
113,0,85.0,6,30,3,3,1,0,0,0
0,0,81.0,8,6,4,3,1,3,0,1
80,0,144.0,9,19,3,2,1,0,0,1
200,0,150.45,9,20,4,5,1,0,0,0
4,1,67.0,4,18,2,1,1,0,0,1
29,1,83.57,4,14,4,3,0,0,0,1
39,0,67.0,7,25,2,0,1,0,0,1
29,1,150.61,9,30,4,2,2,0,5,1
1,0,0.0,4,8,4,2,0,0,0,1
3,1,65.0,3,20,2,0,2,0,0,1
19,1,139.0,9,23,4,2,1,0,0,1
223,0,73.96,9,30,4,3,2,3,0,0
38,1,116.65,10,11,4,3,0,0,3,1
59,1,89.1,6,26,4,0,1,3,0,1
18,0,111.75,10,2,4,2,2,0,0,1
6,1,106.33,11,27,4,1,2,0,0,1
11,0,95.0,10,11,2,1,2,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
51,0,88.4,11,15,4,5,1,0,0,0
2,0,75.0,8,13,4,2,0,0,0,1
37,1,96.3,10,22,4,3,0,0,0,1
219,0,108.0,9,4,3,1,0,1,0,0
6,1,83.2,8,14,4,3,2,0,0,1
14,0,65.0,4,29,3,1,0,0,0,1
0,1,0.0,12,9,1,1,0,0,0,1
27,0,118.15,9,19,4,0,1,0,0,0
5,0,100.0,6,14,2,1,0,0,0,1
192,0,99.45,7,23,4,3,2,0,3,0
42,0,118.0,12,31,3,3,0,0,0,1
284,1,74.15,10,21,4,2,1,0,0,1
41,1,88.0,12,2,4,1,0,3,0,1
102,0,101.5,10,16,3,2,0,1,0,0
134,0,89.25,7,13,4,4,0,3,0,1
60,1,82.45,3,14,4,3,1,0,3,1
96,3,108.0,10,3,4,1,1,3,0,1
72,1,151.2,10,18,4,3,0,0,3,0
217,0,101.15,9,29,4,3,1,3,0,0
71,0,90.0,9,9,2,3,0,0,0,1
278,0,94.95,7,16,4,1,2,0,1,0
1,0,91.0,2,24,4,1,0,0,0,1
15,0,88.8,3,4,4,2,0,0,3,0
1,2,215.0,9,24,4,1,0,0,5,1
143,0,90.0,8,25,3,3,0,0,0,1
8,0,119.0,5,25,4,1,0,3,0,1
32,1,65.0,7,4,2,1,1,0,0,1
27,0,64.8,1,5,3,1,0,3,0,1
301,1,115.0,7,30,4,1,1,1,0,0
53,1,70.0,3,19,3,3,2,0,0,1
268,0,95.4,10,1,4,1,1,3,0,0
37,3,99.48,11,14,4,4,1,1,3,1
54,0,90.95,6,20,3,2,1,0,3,1
213,2,99.71,10,17,4,3,1,0,0,1
45,1,124.6,7,2,4,1,2,3,0,0
275,0,62.8,6,4,3,1,1,0,0,0
68,2,116.45,4,1,4,2,2,0,3,1
26,1,119.87,9,19,4,4,2,0,0,0
166,0,110.0,11,1,4,3,0,0,0,0
42,1,104.42,11,16,4,4,1,0,0,1
163,2,105.3,8,1,4,0,1,0,0,0
86,0,90.0,9,9,2,3,0,0,0,1
128,0,137.91,8,24,4,4,1,0,5,0
24,0,94.93,12,8,4,3,0,0,3,1
27,0,120.0,6,9,3,1,0,0,0,1
39,2,94.5,9,13,4,2,2,0,0,1
34,2,117.0,9,25,4,1,2,0,0,1
5,1,149.0,9,7,4,1,0,3,0,1
148,0,99.9,5,5,4,3,0,0,0,1
29,0,75.05,2,19,4,2,0,3,0,0
1,0,85.0,9,29,2,1,0,0,0,1
16,0,133.6,12,10,4,7,4,0,5,1
4,2,91.0,11,17,4,1,0,0,0,1
37,0,116.1,5,13,4,1,0,3,0,1
0,1,65.0,2,24,2,1,0,0,0,1
137,2,117.3,12,24,4,3,2,1,0,1
193,0,120.0,6,20,3,2,1,0,0,0
6,2,69.5,1,12,4,2,0,3,0,1
320,1,115.0,8,18,4,2,0,1,0,0
1,1,12.0,10,10,3,1,1,0,0,1
9,0,87.0,1,15,4,2,1,0,0,1
1,2,154.0,12,6,4,1,0,0,3,1
16,0,75.0,11,16,3,3,0,0,0,1
135,0,78.65,10,30,3,1,2,0,3,1
170,1,112.2,8,11,4,3,2,0,3,0
57,0,143.29,4,17,4,5,2,1,3,0
69,1,140.7,7,19,4,3,0,0,3,1
20,2,115.6,6,8,4,2,0,0,3,1
211,0,100.0,5,20,4,2,0,0,0,0
19,1,149.0,9,23,4,2,0,3,0,1
108,1,120.0,3,24,4,3,2,0,1,1
33,0,123.82,10,2,4,3,2,1,3,0
105,0,65.0,9,28,2,1,0,0,0,1
294,0,58.5,9,21,3,4,0,1,0,1
161,2,145.85,8,14,4,3,2,0,3,0
42,0,85.0,7,19,3,3,0,0,0,1
92,2,72.25,7,15,3,3,2,0,0,1
47,1,77.35,3,14,4,3,1,0,0,1
377,0,90.0,10,14,3,2,0,1,0,1
44,0,187.11,9,15,4,3,1,0,5,0
219,0,84.0,9,4,3,1,0,1,0,1
52,1,130.9,12,17,4,4,2,0,3,1
1,1,89.5,12,20,4,3,0,0,0,1
5,0,100.0,9,20,2,0,2,0,0,1
118,1,98.25,10,16,4,2,1,0,0,1
134,0,65.0,12,4,3,2,2,0,0,1
105,0,75.0,4,6,3,1,0,0,0,0
2,0,118.76,5,31,4,4,0,0,0,1
192,0,110.0,6,24,3,2,0,0,0,0
180,1,100.0,5,2,3,1,1,0,0,1
57,1,60.98,11,22,4,1,0,3,0,1
142,1,76.5,8,9,4,1,2,0,0,1
109,0,159.9,10,29,4,1,2,0,5,0
138,0,94.5,8,22,3,1,2,1,0,0
141,2,85.5,8,29,4,2,1,3,0,1
14,0,100.0,10,15,3,1,0,0,0,1
85,0,129.73,9,29,2,2,0,0,0,1
15,0,79.0,2,12,4,2,0,3,0,0
25,0,65.0,11,22,3,3,2,0,0,1
41,0,65.0,3,4,3,2,1,0,0,1
42,2,109.0,10,29,4,1,0,3,0,1
23,0,145.0,7,5,4,2,0,0,0,0
263,0,67.0,9,21,3,0,1,0,0,1
102,3,156.0,7,10,4,4,2,1,3,1
5,3,110.0,2,12,4,1,0,0,0,1
28,2,104.5,8,30,4,4,0,3,0,1
220,0,128.0,9,17,3,1,2,1,0,0
133,1,114.63,7,16,4,5,2,0,3,1
79,1,172.23,10,21,4,7,4,0,5,1
386,1,115.0,10,23,4,0,2,1,0,0
42,1,144.9,8,14,4,2,2,0,0,1
7,0,148.0,8,11,4,2,0,3,0,1
7,2,125.8,12,29,4,3,1,0,3,1
1,2,228.0,8,24,4,1,0,0,5,1
1,0,129.56,9,22,4,1,0,3,0,1
13,0,96.0,12,5,4,0,1,0,0,1
23,0,102.0,1,2,3,1,2,1,0,1
1,0,79.0,2,26,4,1,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,0
97,0,173.7,11,16,4,2,0,1,3,0
48,1,79.4,2,26,4,2,0,0,0,1
29,0,85.0,4,6,3,4,0,3,0,1
22,2,111.0,11,1,4,4,0,0,0,1
115,2,107.41,12,29,4,2,0,0,3,1
11,1,106.35,11,5,4,4,2,0,0,1
136,0,90.9,8,26,4,2,0,0,0,1
218,0,49.68,12,9,4,2,0,3,0,0
36,1,72.9,2,24,4,1,0,0,0,1
273,0,94.5,6,24,4,2,1,0,0,0
191,0,69.0,3,30,3,4,1,0,3,1
131,1,105.3,7,4,4,2,1,0,0,1
142,1,113.05,5,23,4,3,1,0,3,1
197,2,112.32,8,23,4,5,2,0,0,0
322,0,80.0,5,19,3,3,1,0,0,0
26,0,187.0,7,2,4,1,2,0,3,0
0,2,129.0,6,18,4,1,2,3,0,1
275,0,90.0,10,5,3,4,1,0,0,0
7,0,89.8,11,17,4,1,0,0,0,1
151,1,100.5,8,5,4,2,1,3,0,0
